Rank,Title,Production Budget (for the top 21),Release Date,Distributor,Rating,Genre,2011 Gross,Tickets Sold,Inflation Adjusted Gross,Runlength
132,Judy Moody and the Not Bummer Summer,,6/10/11,Relativity,PG,Action/Adventure,"$15,013,650 ",1893272,"$14,937,916 ",91 min
133,The Darkest Hour,,12/25/11,Summit Entertainment,PG-13,Action/Adventure,"$14,215,634 ",1792640,"$14,143,930 ",89 min
134,What's Your Number?,,9/30/11,20th Century Fox,R,Comedy,"$14,011,084 ",1766845,"$13,940,407 ",106 min
135,One Day,,8/19/11,Focus Features,PG-13,Drama,"$13,843,771 ",1745747,"$13,773,944 ",107 min
136,Warrior,,9/9/11,Lionsgate,PG-13,Drama,"$13,657,115 ",1722209,"$13,588,229 ",139 min
137,The Tree of Life,,5/27/11,Fox Searchlight,PG-13,Drama,"$13,305,665 ",1677890,"$13,238,552 ",138 min
138,The Rum Diary,,10/28/11,FilmDistrict,R,Drama,"$13,109,815 ",1653192,"$13,043,685 ",120 min
139,The Tourist,,12/10/10,Sony Pictures,PG-13,Thriller/Suspense,"$12,997,966 ",1639088,"$12,932,404 ",103 min
140,Young Adult,,12/9/11,Paramount Pictures,R,Comedy,"$12,669,252 ",1597636,"$12,605,348 ",94 min
141,Harry Potter and the Deathly Hallows: Part I,,11/19/10,Warner Bros.,PG-13,Action/Adventure,"$12,450,090 ",1569999,"$12,387,292 ",146 min
142,Glee: The 3D Concert Movie,,8/12/11,20th Century Fox,PG,Other,"$11,862,398 ",1495889,"$11,802,564 ",100 min
143,The Conspirator,,4/15/11,Roadside Attractions,PG-13,Drama,"$11,538,204 ",1455007,"$11,480,005 ",122 min
144,Jane Eyre,,3/11/11,Focus Features,PG-13,Drama,"$11,242,660 ",1417738,"$11,185,953 ",121 min
145,Drive Angry,,2/25/11,Summit Entertainment,R,Action/Adventure,"$10,721,033 ",1351959,"$10,666,957 ",104 min
146,Straw Dogs,,9/16/11,Sony Pictures,R,Thriller/Suspense,"$10,324,441 ",1301947,"$10,272,362 ",105 min
147,Win Win,,3/18/11,Fox Searchlight,R,Drama,"$10,179,275 ",1283641,"$10,127,927 ",106 min
148,Hoodwinked 2: Hood vs. Evil,,4/29/11,Weinstein Co.,PG,Action/Adventure,"$10,143,779 ",1279165,"$10,092,612 ",85 min
149,Prom,,4/29/11,Walt Disney Pictures,PG,Comedy,"$10,130,219 ",1277455,"$10,079,120 ",103 min
150,Hubble 3D,,3/19/10,Warner Bros.,G,Documentary,"$9,936,258 ",1252996,"$9,886,138 ",43 min
151,I Don't Know How She Does It,,9/16/11,Weinstein Co.,PG-13,Comedy,"$9,659,074 ",1218042,"$9,610,351 ",
152,Blue Valentine,,12/29/10,Weinstein Co.,NC-17,Drama,"$9,446,285 ",1191209,"$9,398,639 ",
153,My Week with Marilyn,,11/23/11,Weinstein Co.,R,Drama,"$8,935,721 ",1126825,"$8,890,649 ",
154,Johnny English Reborn,,10/21/11,Universal,PG,Comedy,"$8,406,711 ",1060115,"$8,364,307 ",
155,127 h,,11/5/10,Fox Searchlight,R,Drama,"$7,900,795 ",996317,"$7,860,941 ",
156,Kevin Hart: Laugh at My Pain,,9/9/11,Codeblack Entertainment,R,Other,"$7,706,436 ",971808,"$7,667,565 ",
157,Elle s'appelait Sarah,,7/22/11,Weinstein Co.,PG,Drama,"$7,691,700 ",969950,"$7,652,906 ",
158,The Big Year,,10/14/11,20th Century Fox,PG,Comedy,"$7,204,138 ",908466,"$7,167,797 ",
159,Resident Evil: Afterlife 3D,,9/10/10,Sony Pictures,R,Horror,"$6,945,226 ",875817,"$6,910,196 ",
160,Take Me Home Tonight,,3/4/11,Relativity,Not Rated,Comedy,"$6,928,068 ",873653,"$6,893,122 "
161,Invictus,,12/11/09,Warner Bros.,PG-13,Drama,"$6,904,919 ",870734,"$6,870,091 "
162,Cedar Rapids,,2/11/11,Fox Searchlight,R,Comedy,"$6,861,102 ",865208,"$6,826,491 "
163,Beginners,,6/3/11,Focus Features,R,Drama,"$5,790,894 ",730251,"$5,761,680 "
164,The Guard,,7/29/11,Sony Pictures Classics,R,Comedy,"$5,336,144 ",672906,"$5,309,228 "
165,Cave of Forgotten Dreams,,4/29/11,IFC Films,G,Documentary,"$5,304,920 ",668968,"$5,278,158 "
166,Margin Call,,10/21/11,Roadside Attractions,R,Drama,"$5,254,187 ",662571,"$5,227,685 "
167,How Do You Know?,,12/17/10,Sony Pictures,R,Comedy,"$5,171,726 ",652172,"$5,145,637 "
168,The Artist,,11/25/11,Weinstein Co.,PG-13,Drama,"$5,044,344 ",636109,"$5,018,900 "
169,Biutiful,,12/29/10,Roadside Attractions,R,Drama,"$5,036,565 ",635128,"$5,011,160 "
170,Under the Sea 3D,,2/13/09,Warner Bros.,G,Documentary,"$4,948,586 ",624034,"$4,923,628 "
171,Atlas Shrugged: Part 1,,4/15/11,Rocky Mountain Pictures,PG-13,Drama,"$4,752,353 ",599288,"$4,728,382 "
172,Anonymous,,10/28/11,Sony Pictures,PG-13,Thriller/Suspense,"$4,463,292 ",562836,"$4,440,776 "
173,The Company Men,,1/21/11,Weinstein Co.,R,Drama,"$4,444,612 ",560481,"$4,422,195 "
174,Seven Days In Utopia,,9/2/11,Visio Entertainment,G,Drama,"$4,367,448 ",550750,"$4,345,418 "
175,Tinker Tailor Soldier Spy,,12/9/11,Focus Features,R,Thriller/Suspense,"$4,280,186 ",539746,"$4,258,596 "
176,Megamind,,11/5/10,Paramount Pictures,PG,Action/Adventure,"$4,223,825 ",532639,"$4,202,522 "
177,The Way,,10/7/11,Producer's Distribution Agency,PG-13,Drama,"$4,187,408 ",528046,"$4,166,283 "
178,Buck,,6/17/11,IFC Films,PG,Documentary,"$4,036,175 ",508975,"$4,015,813 "
179,Des Hommes et Des Dieux,,2/25/11,Sony Pictures Classics,R,Drama,"$3,954,651 ",498695,"$3,934,704 "
180,The Social Network,,10/1/10,Sony Pictures,PG-13,Drama,"$3,740,668 ",471711,"$3,721,800 "
181,Starbuck,,7/29/11,Entertainment One,Not Rated,Comedy,"$3,450,087 ",435068,"$3,432,687 "
182,Like Crazy,,10/28/11,Paramount Pictures,PG-13,Drama,"$3,372,100 ",425233,"$3,355,088 "
183,Don 2,,12/22/11,Reliance Big,Not Rated,Action/Adventure,"$3,288,726 ",414720,"$3,272,141 "
184,Le sens de l'humour,,7/6/11,Alliance,Not Rated,Comedy,"$3,179,193 ",400907,"$3,163,156 "
185,Zindagi Na Milegi Dobara,,7/15/11,Eros Entertainment,Not Rated,Drama,"$3,103,656 ",391382,"$3,088,004 "
186,La piel que habito,,10/14/11,Sony Pictures Classics,R,Drama,"$3,042,108 ",383620,"$3,026,762 "
187,Another Year,,12/29/10,Sony Pictures Classics,PG-13,Drama,"$3,041,052 ",383487,"$3,025,712 "
188,From Prada to Nada,,1/28/11,Lionsgate,PG-13,Comedy,"$3,033,623 ",382550,"$3,018,320 "
189,Albert Nobbs,,12/21/11,Roadside Attractions,R,Drama,"$2,934,097 ",370000,"$2,919,300 "
190,Martha Marcy May Marlene,,10/21/11,Fox Searchlight,R,Thriller/Suspense,"$2,913,443 ",367395,"$2,898,747 "
191,The Way Back,,1/21/11,Newmarket Films,PG-13,Action/Adventure,"$2,719,296 ",342912,"$2,705,576 "
192,Everything Must Go,,5/13/11,Roadside Attractions,PG,Drama,"$2,712,131 ",342009,"$2,698,451 "
193,Bucky Larson: Born to Be a Star,,9/9/11,Sony Pictures,R,Comedy,"$2,529,395 ",318965,"$2,516,634 "
194,Melancholia,,11/11/11,Magnolia Pictures,R,Thriller/Suspense,"$2,517,506 ",317466,"$2,504,807 "
195,Ra. One,,10/28/11,Eros Entertainment,Not Rated,Action/Adventure,"$2,509,150 ",316412,"$2,496,491 "
196,The Grace Card,,2/25/11,Samuel Goldwyn Films,PG-13,Drama,"$2,430,735 ",306524,"$2,418,474 "
197,Space Station,,4/19/02,IMAX Films,Not Rated,Documentary,"$2,167,258 ",273299,"$2,156,329 "
198,L'illusionniste,,12/25/10,Sony Pictures Classics,PG,Action/Adventure,"$2,107,998 ",265826,"$2,097,367 "
199,Unstoppable,,11/12/10,20th Century Fox,PG-13,Action/Adventure,"$2,094,456 ",264118,"$2,083,891 "
200,The Trip,,6/10/11,IFC Films,Not Rated,Comedy,"$2,030,962 ",256111,"$2,020,716 "
201,Shame,,12/2/11,Fox Searchlight,NC-17,Drama,"$1,965,874 ",247903,"$1,955,955 "
202,Cats & Dogs: The Revenge of Kitty Galore,,7/30/10,Warner Bros.,PG,Comedy,"$1,953,539 ",246348,"$1,943,686 "
203,The Mighty Macs,,10/21/11,Quaker Media,G,Drama,"$1,891,936 ",238580,"$1,882,396 "
204,Gerry,,6/15/11,Seville,Not Rated,Drama,"$1,844,754 ",232630,"$1,835,451 "
205,Bodyguard,,8/31/11,Reliance Big,Not Rated,Action/Adventure,"$1,834,384 ",231322,"$1,825,131 "
206,Rabbit Hole,,12/17/10,Lionsgate,PG-13,Drama,"$1,793,829 ",226208,"$1,784,781 "
207,A Better Life,,6/24/11,Summit Entertainment,Not Rated,Drama,"$1,759,252 ",221848,"$1,750,381 "
208,Burlesque,,11/24/10,Sony Pictures,PG-13,Drama,"$1,707,094 ",215270,"$1,698,480 "
209,Take Shelter,,9/30/11,Sony Pictures Classics,R,Drama,"$1,671,202 ",210744,"$1,662,770 "
210,Potiche,,3/25/11,Music Box Films,R,Comedy,"$1,618,844 ",204142,"$1,610,680 "
211,Senna,,8/12/11,Universal,R,Documentary,"$1,612,430 ",203333,"$1,604,297 "
